Model,Asset,Weight
MWM Growth,AVUV,0.0552
MWM Growth,FBTC,0.04
MWM Growth,FIKQX,0.0337416799999999
MWM Growth,FIWDX,0.04399515
MWM Growth,IMCB,0.04832
MWM Growth,JBND,0.0285583199999999
MWM Growth,JPIE,0.04040118
MWM Growth,PIMIX,0.05330367
MWM Growth,VEU,0.11928
MWM Growth,VOO,0.26072
MWM Growth,XLF,0.01744
MWM Growth,XLG,0.2319999999999999
MWM Growth,XLV,0.0270399999999999
MWM Aggressive,AVUV,0.0621
MWM Aggressive,FBTC,0.045
MWM Aggressive,FIKQX,0.0168708399999999
MWM Aggressive,FIWDX,0.021997575
MWM Aggressive,IMCB,0.05436
MWM Aggressive,JBND,0.0142791599999999
MWM Aggressive,JPIE,0.02020059
MWM Aggressive,PIMIX,0.026651835
MWM Aggressive,VEU,0.13419
MWM Aggressive,VOO,0.29331
MWM Aggressive,XLF,0.01962
MWM Aggressive,XLG,0.261
MWM Aggressive,XLV,0.03042
MWM Ultra Aggressive,AVUV,0.119
MWM Ultra Aggressive,FBTC,0.05
MWM Ultra Aggressive,IMCB,0.0598
MWM Ultra Aggressive,VEU,0.1476
MWM Ultra Aggressive,VOO,0.07
MWM Ultra Aggressive,XLG,0.5046
MWM Ultra Aggressive,XLV,0.049
MWM Growth Plus,AVUV,0.05865
MWM Growth Plus,FBTC,0.0425
MWM Growth Plus,FIKQX,0.0253062599999999
MWM Growth Plus,FIWDX,0.0329963625
MWM Growth Plus,IMCB,0.05134
MWM Growth Plus,JBND,0.02141874
MWM Growth Plus,JPIE,0.0303008849999999
MWM Growth Plus,PIMIX,0.0399777525
MWM Growth Plus,VEU,0.126735
MWM Growth Plus,VOO,0.277015
MWM Growth Plus,XLF,0.0185299999999999
MWM Growth Plus,XLG,0.2464999999999999
MWM Growth Plus,XLV,0.0287299999999999
MWM Moderate,AVUV,0.0483
MWM Moderate,FIKQX,0.0506125199999999
MWM Moderate,FIWDX,0.065992725
MWM Moderate,IMCB,0.04228
MWM Moderate,JBND,0.04283748
MWM Moderate,JPIE,0.0606017699999999
MWM Moderate,PIMIX,0.079955505
MWM Moderate,VEU,0.10437
MWM Moderate,VOO,0.26313
MWM Moderate,XLF,0.01526
MWM Moderate,XLG,0.2029999999999999
MWM Moderate,XLV,0.0236599999999999
MWM Balanced,AVUV,0.0345
MWM Balanced,FIKQX,0.0843541999999999
MWM Balanced,FIWDX,0.109987875
MWM Balanced,IMCB,0.0302
MWM Balanced,JBND,0.0713958
MWM Balanced,JPIE,0.10100295
MWM Balanced,PIMIX,0.133259175
MWM Balanced,VEU,0.07455
MWM Balanced,VOO,0.18795
MWM Balanced,XLF,0.0109
MWM Balanced,XLG,0.145
MWM Balanced,XLV,0.0169
MWM Conservative,AVUV,0.0207
MWM Conservative,FIKQX,0.1180958799999999
MWM Conservative,FIWDX,0.153983025
MWM Conservative,IMCB,0.01812
MWM Conservative,JBND,0.09995412
MWM Conservative,JPIE,0.14140413
MWM Conservative,PIMIX,0.186562845
MWM Conservative,VEU,0.04473
MWM Conservative,VOO,0.11277
MWM Conservative,XLF,0.00654
MWM Conservative,XLG,0.087
MWM Conservative,XLV,0.0101399999999999
