Model,Asset,Weight,Production_Asset
MWM Growth,AVUV,0.0552,AVUV
MWM Growth,FBTC_HIST,0.04,FBTC
MWM Growth,FIKQX,0.0337416799999999,FIKQX
MWM Growth,FIWDX,0.04399515,FIWDX
MWM Growth,IMCB,0.04832,IMCB
MWM Growth,JBND,0.0285583199999999,JBND
MWM Growth,JPIE,0.04040118,JPIE
MWM Growth,PIMIX,0.05330367,PIMIX
MWM Growth,VEU,0.11928,VEU
MWM Growth,VOO,0.26072,VOO
MWM Growth,XLF,0.01744,XLF
MWM Growth,XLG,0.2319999999999999,XLG
MWM Growth,XLV,0.0270399999999999,XLV
MWM Aggressive,AVUV,0.0621,AVUV
MWM Aggressive,FBTC_HIST,0.045,FBTC
MWM Aggressive,FIKQX,0.0168708399999999,FIKQX
MWM Aggressive,FIWDX,0.021997575,FIWDX
MWM Aggressive,IMCB,0.05436,IMCB
MWM Aggressive,JBND,0.0142791599999999,JBND
MWM Aggressive,JPIE,0.02020059,JPIE
MWM Aggressive,PIMIX,0.026651835,PIMIX
MWM Aggressive,VEU,0.13419,VEU
MWM Aggressive,VOO,0.29331,VOO
MWM Aggressive,XLF,0.01962,XLF
MWM Aggressive,XLG,0.261,XLG
MWM Aggressive,XLV,0.03042,XLV
MWM Ultra Aggressive,AVUV,0.119,AVUV
MWM Ultra Aggressive,FBTC_HIST,0.05,FBTC
MWM Ultra Aggressive,IMCB,0.0598,IMCB
MWM Ultra Aggressive,VEU,0.1476,VEU
MWM Ultra Aggressive,VOO,0.07,VOO
MWM Ultra Aggressive,XLG,0.5046,XLG
MWM Ultra Aggressive,XLV,0.049,XLV
MWM Growth Plus,AVUV,0.05865,AVUV
MWM Growth Plus,FBTC_HIST,0.0425,FBTC
MWM Growth Plus,FIKQX,0.0253062599999999,FIKQX
MWM Growth Plus,FIWDX,0.0329963625,FIWDX
MWM Growth Plus,IMCB,0.05134,IMCB
MWM Growth Plus,JBND,0.02141874,JBND
MWM Growth Plus,JPIE,0.0303008849999999,JPIE
MWM Growth Plus,PIMIX,0.0399777525,PIMIX
MWM Growth Plus,VEU,0.126735,VEU
MWM Growth Plus,VOO,0.277015,VOO
MWM Growth Plus,XLF,0.0185299999999999,XLF
MWM Growth Plus,XLG,0.2464999999999999,XLG
MWM Growth Plus,XLV,0.0287299999999999,XLV
MWM Moderate,AVUV,0.0483,AVUV
MWM Moderate,FIKQX,0.0506125199999999,FIKQX
MWM Moderate,FIWDX,0.065992725,FIWDX
MWM Moderate,IMCB,0.04228,IMCB
MWM Moderate,JBND,0.04283748,JBND
MWM Moderate,JPIE,0.0606017699999999,JPIE
MWM Moderate,PIMIX,0.079955505,PIMIX
MWM Moderate,VEU,0.10437,VEU
MWM Moderate,VOO,0.26313,VOO
MWM Moderate,XLF,0.01526,XLF
MWM Moderate,XLG,0.2029999999999999,XLG
MWM Moderate,XLV,0.0236599999999999,XLV
MWM Balanced,AVUV,0.0345,AVUV
MWM Balanced,FIKQX,0.0843541999999999,FIKQX
MWM Balanced,FIWDX,0.109987875,FIWDX
MWM Balanced,IMCB,0.0302,IMCB
MWM Balanced,JBND,0.0713958,JBND
MWM Balanced,JPIE,0.10100295,JPIE
MWM Balanced,PIMIX,0.133259175,PIMIX
MWM Balanced,VEU,0.07455,VEU
MWM Balanced,VOO,0.18795,VOO
MWM Balanced,XLF,0.0109,XLF
MWM Balanced,XLG,0.145,XLG
MWM Balanced,XLV,0.0169,XLV
MWM Conservative,AVUV,0.0207,AVUV
MWM Conservative,FIKQX,0.1180958799999999,FIKQX
MWM Conservative,FIWDX,0.153983025,FIWDX
MWM Conservative,IMCB,0.01812,IMCB
MWM Conservative,JBND,0.09995412,JBND
MWM Conservative,JPIE,0.14140413,JPIE
MWM Conservative,PIMIX,0.186562845,PIMIX
MWM Conservative,VEU,0.04473,VEU
MWM Conservative,VOO,0.11277,VOO
MWM Conservative,XLF,0.00654,XLF
MWM Conservative,XLG,0.087,XLG
MWM Conservative,XLV,0.0101399999999999,XLV
