Date,Type,From,To
2011-05-10,Base regime,MGV,MGK
2011-06-14,Base regime,MGK,MGV
2011-06-27,Base regime,MGV,MGK
2011-07-08,SPHB sleeve,OFF,ON
2011-08-08,SPHB sleeve,ON,OFF
2011-09-16,SMH sleeve,OFF,ON
2011-10-06,SMH sleeve,ON,OFF
2011-11-03,SPHB sleeve,OFF,ON
2011-11-28,SPHB sleeve,ON,OFF
2011-12-07,SPHB sleeve,OFF,ON
2011-12-19,SPHB sleeve,ON,OFF
2012-01-18,SPHB sleeve,OFF,ON
2012-01-25,SMH sleeve,OFF,ON
2012-04-04,SPHB sleeve,ON,OFF
2012-06-13,Base regime,MGK,MGV
2012-07-16,SMH sleeve,ON,OFF
2012-07-31,Base regime,MGV,MGK
2012-08-13,SPHB sleeve,OFF,ON
2012-10-09,Base regime,MGK,MGV
2012-11-06,SMH sleeve,OFF,ON
2013-02-28,SPHB sleeve,ON,OFF
2013-03-18,SPHB sleeve,OFF,ON
2013-03-26,SPHB sleeve,ON,OFF
2013-05-07,Base regime,MGV,MGK
2013-05-10,SPHB sleeve,OFF,ON
2013-05-16,Base regime,MGK,MGV
2013-07-25,SMH sleeve,ON,OFF
2013-08-20,Base regime,MGV,MGK
2013-09-11,SMH sleeve,OFF,ON
2014-04-01,SPHB sleeve,ON,OFF
2014-06-09,SPHB sleeve,OFF,ON
2014-06-20,Base regime,MGK,MGV
2014-06-27,Base regime,MGV,MGK
2014-10-08,SPHB sleeve,ON,OFF
2014-10-15,Base regime,MGK,MGV
2014-10-17,Base regime,MGV,MGK
2014-10-30,SPHB sleeve,OFF,ON
2014-12-08,SPHB sleeve,ON,OFF
2015-02-06,SPHB sleeve,OFF,ON
2015-05-04,Base regime,MGK,MGV
2015-05-21,SPHB sleeve,ON,OFF
2015-05-26,Base regime,MGV,MGK
2015-06-12,Base regime,MGK,MGV
2015-06-22,Base regime,MGV,MGK
2015-07-06,SMH sleeve,ON,OFF
2015-09-01,SMH sleeve,OFF,ON
2015-10-08,Base regime,MGK,MGV
2015-10-13,Base regime,MGV,MGK
2015-12-17,Base regime,MGK,MGV
2016-02-16,SMH sleeve,ON,OFF
2016-03-09,SPHB sleeve,OFF,ON
2016-03-31,Base regime,MGV,MGK
2016-04-21,Base regime,MGK,MGV
2016-05-26,SMH sleeve,OFF,ON
2016-06-17,SPHB sleeve,ON,OFF
2016-08-10,SPHB sleeve,OFF,ON
2016-09-08,Base regime,MGV,MGK
2016-09-12,Base regime,MGK,MGV
2016-11-16,SMH sleeve,ON,OFF
2017-01-20,Base regime,MGV,MGK
2017-03-01,SPHB sleeve,ON,OFF
2017-04-05,SPHB sleeve,OFF,ON
2017-05-05,SPHB sleeve,ON,OFF
2017-05-17,SMH sleeve,OFF,ON
2017-06-16,SMH sleeve,ON,OFF
2017-07-17,SMH sleeve,OFF,ON
2017-07-17,SPHB sleeve,OFF,ON
2017-08-09,SPHB sleeve,ON,OFF
2017-09-25,SPHB sleeve,OFF,ON
2017-09-26,Base regime,MGK,MGV
2017-10-02,Base regime,MGV,MGK
2017-10-04,Base regime,MGK,MGV
2017-10-09,Base regime,MGV,MGK
2017-12-05,SMH sleeve,ON,OFF
2017-12-21,Base regime,MGK,MGV
2018-01-04,Base regime,MGV,MGK
2018-03-07,SMH sleeve,OFF,ON
2018-04-05,SMH sleeve,ON,OFF
2018-04-25,Base regime,MGK,MGV
2018-05-01,SPHB sleeve,ON,OFF
2018-05-02,Base regime,MGV,MGK
2018-05-08,SMH sleeve,OFF,ON
2018-05-11,SPHB sleeve,OFF,ON
2018-06-29,SMH sleeve,ON,OFF
2018-07-02,SPHB sleeve,ON,OFF
2018-08-21,Base regime,MGK,MGV
2018-08-24,Base regime,MGV,MGK
2018-09-19,Base regime,MGK,MGV
2019-01-16,SPHB sleeve,OFF,ON
2019-01-31,SMH sleeve,OFF,ON
2019-02-01,Base regime,MGV,MGK
2019-05-16,SMH sleeve,ON,OFF
2019-05-17,SPHB sleeve,ON,OFF
2019-06-05,Base regime,MGK,MGV
2019-06-11,Base regime,MGV,MGK
2019-07-03,SMH sleeve,OFF,ON
2019-07-05,SPHB sleeve,OFF,ON
2019-08-07,SMH sleeve,ON,OFF
2019-08-08,SPHB sleeve,ON,OFF
2019-09-16,SPHB sleeve,OFF,ON
2019-09-27,SPHB sleeve,ON,OFF
2019-10-01,Base regime,MGK,MGV
2019-11-01,Base regime,MGV,MGK
2019-11-06,Base regime,MGK,MGV
2019-11-08,SPHB sleeve,OFF,ON
2019-11-18,Base regime,MGV,MGK
2019-12-18,SMH sleeve,OFF,ON
