Start_Date,End_Date,Holding,Dividend_Income
2011-01-03,2011-01-10,MGV,0.0
2011-01-11,2011-01-13,MGK,0.0
2011-01-14,2011-04-20,MGV,535.3713470981992
2011-04-21,2011-04-26,MGK,0.0
2011-04-27,2011-05-06,MGV,0.0
2011-05-09,2011-05-13,MGK,0.0
2011-05-16,2011-05-19,MGV,0.0
2011-05-20,2011-06-09,MGK,0.0
2011-06-10,2011-06-22,MGV,0.0
2011-06-23,2011-10-26,MGK,667.3157653853434
2011-10-27,2011-10-31,MGV,0.0
2011-11-01,2011-12-06,MGK,0.0
2011-12-07,2011-12-09,MGV,0.0
2011-12-12,2011-12-14,MGK,0.0
2011-12-15,2012-01-24,MGV,872.2254032179648
2012-01-25,2012-05-16,MGK,303.0364961440599
2012-05-17,2012-05-21,MGV,0.0
2012-05-22,2012-06-08,MGK,0.0
2012-06-11,2012-07-03,MGV,792.8633897329953
2012-07-05,2012-07-09,MGK,0.0
2012-07-10,2012-07-18,MGV,0.0
2012-07-19,2012-07-23,MGK,0.0
2012-07-24,2012-08-01,MGV,0.0
2012-08-02,2012-09-24,MGK,445.732770911928
2012-09-25,2012-11-16,MGV,0.0
2012-11-19,2012-12-04,MGK,0.0
2012-12-05,2013-05-02,MGV,1786.1606604390633
2013-05-03,2013-05-07,MGK,0.0
2013-05-08,2013-05-10,MGV,0.0
2013-05-13,2013-05-15,MGK,0.0
2013-05-16,2013-08-16,MGV,862.7657949256053
2013-08-19,2013-11-19,MGK,542.2036043140886
2013-11-20,2013-11-25,MGV,0.0
2013-11-26,2014-03-19,MGK,697.0733462263918
2014-03-20,2014-05-21,MGV,911.7229682947612
2014-05-22,2014-06-12,MGK,0.0
2014-06-13,2014-06-25,MGV,958.0415198616686
2014-06-26,2014-07-15,MGK,0.0
2014-07-16,2014-07-22,MGV,0.0
2014-07-23,2014-07-25,MGK,0.0
2014-07-28,2014-07-30,MGV,0.0
2014-07-31,2014-09-12,MGK,0.0
2014-09-15,2014-09-23,MGV,1086.0510716353797
2014-09-24,2014-10-09,MGK,0.0
2014-10-10,2014-10-14,MGV,0.0
2014-10-15,2014-12-23,MGK,0.0
2014-12-24,2014-12-29,MGV,0.0
2014-12-30,2015-04-28,MGK,550.5712781806749
2015-04-29,2015-05-21,MGV,0.0
2015-05-22,2015-05-28,MGK,0.0
2015-05-29,2015-06-02,MGV,0.0
2015-06-03,2015-06-08,MGK,0.0
2015-06-09,2015-06-17,MGV,0.0
2015-06-18,2015-06-26,MGK,712.3612023800531
2015-06-29,2015-07-01,MGV,0.0
2015-07-02,2015-07-08,MGK,0.0
2015-07-09,2015-07-13,MGV,0.0
2015-07-14,2015-09-25,MGK,697.5264945144157
2015-09-28,2015-09-30,MGV,0.0
2015-10-01,2015-10-05,MGK,0.0
2015-10-06,2015-10-14,MGV,0.0
2015-10-15,2015-12-14,MGK,0.0
2015-12-15,2016-01-21,MGV,1433.9835493710339
2016-01-22,2016-01-26,MGK,0.0
2016-01-27,2016-03-30,MGV,1286.0385478983592
2016-03-31,2016-04-13,MGK,0.0
2016-04-14,2016-07-27,MGV,1289.2866307302859
2016-07-28,2016-08-23,MGK,0.0
2016-08-24,2016-09-06,MGV,0.0
2016-09-07,2016-09-09,MGK,0.0
2016-09-12,2016-09-14,MGV,0.0
2016-09-15,2016-10-14,MGK,812.5268263135061
2016-10-17,2016-10-19,MGV,0.0
2016-10-20,2016-10-25,MGK,0.0
2016-10-26,2017-01-20,MGV,1639.6647921343367
2017-01-23,2017-01-26,MGK,0.0
2017-01-27,2017-01-31,MGV,0.0
2017-02-01,2017-06-30,MGK,1462.718372113125
2017-07-03,2017-07-06,MGV,0.0
2017-07-07,2017-09-20,MGK,0.0
2017-09-21,2017-10-10,MGV,1860.610453762121
2017-10-11,2017-10-18,MGK,0.0
2017-10-19,2017-10-27,MGV,0.0
2017-10-30,2017-11-28,MGK,0.0
2017-11-29,2017-12-29,MGV,1756.364669449231
2018-01-02,2018-04-19,MGK,656.6078771441186
2018-04-20,2018-04-25,MGV,0.0
2018-04-26,2018-07-27,MGK,1098.7614824631619
2018-07-30,2018-08-01,MGV,0.0
2018-08-02,2018-08-15,MGK,0.0
2018-08-16,2018-08-21,MGV,0.0
2018-08-22,2018-09-05,MGK,0.0
2018-09-06,2018-09-10,MGV,0.0
2018-09-11,2018-09-14,MGK,0.0
2018-09-17,2018-09-24,MGV,0.0
2018-09-25,2018-10-03,MGK,1050.5393784869664
2018-10-04,2019-01-30,MGV,2141.5774416969502
2019-01-31,2019-05-31,MGK,242.37745722990127
2019-06-03,2019-06-06,MGV,0.0
2019-06-07,2019-09-10,MGK,1147.8083237496478
2019-09-11,2019-09-16,MGV,0.0
2019-09-17,2019-09-20,MGK,0.0
2019-09-23,2019-09-25,MGV,0.0
2019-09-26,2019-09-30,MGK,1025.7821895049158
2019-10-01,2019-10-03,MGV,0.0
2019-10-04,2019-10-18,MGK,0.0
2019-10-21,2019-10-25,MGV,0.0
2019-10-28,2019-10-30,MGK,0.0
2019-10-31,2019-11-13,MGV,0.0
2019-11-14,2019-11-20,MGK,0.0
2019-11-21,2019-11-25,MGV,0.0
2019-11-26,2019-12-03,MGK,0.0
2019-12-04,2019-12-10,MGV,0.0
2019-12-11,2020-11-06,MGK,3374.7730173037767
2020-11-09,2020-12-16,MGV,0.0
2020-12-17,2020-12-31,MGK,1277.842538859935
2021-01-04,2021-01-20,MGV,0.0
2021-01-21,2021-02-18,MGK,0.0
2021-02-19,2021-04-08,MGV,3345.021120287987
2021-04-09,2021-04-13,MGK,0.0
2021-04-14,2021-04-22,MGV,0.0
2021-04-23,2021-04-28,MGK,0.0
2021-04-29,2021-06-11,MGV,0.0
2021-06-14,2021-09-28,MGK,1696.7285593445722
2021-09-29,2021-10-05,MGV,0.0
2021-10-06,2021-10-08,MGK,0.0
2021-10-11,2021-10-13,MGV,0.0
2021-10-14,2021-12-15,MGK,0.0
2021-12-16,2021-12-21,MGV,0.0
2021-12-22,2021-12-30,MGK,887.7521509094064
2021-12-31,2022-07-19,MGV,9033.103294331018
2022-07-20,2022-07-22,MGK,0.0
2022-07-25,2022-07-27,MGV,0.0
2022-07-28,2022-08-25,MGK,0.0
2022-08-26,2023-01-20,MGV,11168.079402151383
2023-01-23,2023-09-20,MGK,3963.491652895089
2023-09-21,2023-09-28,MGV,0.0
2023-09-29,2023-10-25,MGK,0.0
2023-10-26,2023-10-30,MGV,0.0
2023-10-31,2023-12-29,MGK,1918.9141947016888
2024-01-02,2024-01-08,MGV,0.0
2024-01-09,2024-03-26,MGK,1370.1399369488631
2024-03-27,2024-04-09,MGV,0.0
2024-04-10,2024-04-17,MGK,0.0
2024-04-18,2024-05-02,MGV,0.0
2024-05-03,2024-05-09,MGK,0.0
2024-05-10,2024-05-14,MGV,0.0
2024-05-15,2024-07-23,MGK,1415.8502753360922
2024-07-24,2024-08-14,MGV,0.0
2024-08-15,2024-08-21,MGK,0.0
2024-08-22,2024-09-24,MGV,0.0
2024-09-25,2024-09-27,MGK,1783.6101317906766
2024-09-30,2024-10-07,MGV,0.0
2024-10-08,2024-10-10,MGK,0.0
2024-10-11,2024-10-18,MGV,0.0
2024-10-21,2024-11-22,MGK,0.0
2024-11-25,2024-11-27,MGV,0.0
2024-11-29,2025-01-24,MGK,2353.3895731660377
2025-01-27,2025-01-29,MGV,0.0
2025-01-30,2025-02-20,MGK,0.0
2025-02-21,2025-04-24,MGV,8668.374846131357
2025-04-25,2025-11-19,MGK,3598.8662124001203
2025-11-20,2025-11-24,MGV,0.0
2025-11-25,2025-12-10,MGK,0.0
2025-12-11,2025-12-18,MGV,0.0
2025-12-19,2025-12-26,MGK,2011.6854582193198
2025-12-29,2026-04-14,MGV,11900.853048473276
2026-04-15,2026-06-08,MGK,0.0
2026-06-09,2026-07-10,MGV,11299.560964841676
