Model,Year,Dividend_Income,Cumulative_Income,Yield_on_Cost
VOO Benchmark,2011,2040.9567846205273,2040.9567846205273,0.020409567846205273
VOO Benchmark,2012,2440.199595777325,4481.156380397852,0.024401995957773252
VOO Benchmark,2013,2674.2384850761377,7155.394865473991,0.02674238485076138
VOO Benchmark,2014,2120.1169971774784,9275.511862651469,0.021201169971774785
VOO Benchmark,2015,3382.378212623648,12657.890075275116,0.033823782126236476
VOO Benchmark,2016,3560.488690876788,16218.378766151904,0.03560488690876788
VOO Benchmark,2017,3758.3892222691666,19976.76798842107,0.037583892222691664
VOO Benchmark,2018,4075.890509589982,24052.658498011053,0.04075890509589982
VOO Benchmark,2019,4793.4950451606055,28846.15354317166,0.047934950451606055
VOO Benchmark,2020,4562.897904233834,33409.051447405494,0.04562897904233834
VOO Benchmark,2021,4678.19647469722,38087.24792210272,0.0467819647469722
VOO Benchmark,2022,5117.0193921324935,43204.267314235214,0.051170193921324936
VOO Benchmark,2023,5469.798600266733,48674.065914501945,0.05469798600266733
VOO Benchmark,2024,5769.230708634332,54443.29662313628,0.05769230708634332
VOO Benchmark,2025,6081.569373397085,60524.865996533365,0.060815693733970846
VOO Benchmark,2026,3298.9158146016443,63823.781811135006,0.032989158146016447
A1V12 Tactical Sleeve,2011,2083.955274653388,2083.955274653388,0.02083955274653388
A1V12 Tactical Sleeve,2012,2589.1577541854385,4673.113028838827,0.025891577541854387
A1V12 Tactical Sleeve,2013,2972.794115421442,7645.907144260269,0.029727941154214416
A1V12 Tactical Sleeve,2014,3044.081112316808,10689.988256577077,0.030440811123168078
A1V12 Tactical Sleeve,2015,3512.338863601968,14202.327120179045,0.03512338863601968
A1V12 Tactical Sleeve,2016,5250.959465137912,19453.286585316957,0.05250959465137912
A1V12 Tactical Sleeve,2017,5347.619148474526,24800.905733791482,0.05347619148474526
A1V12 Tactical Sleeve,2018,5272.929083771211,30073.834817562692,0.052729290837712106
A1V12 Tactical Sleeve,2019,5367.816249166017,35441.65106672871,0.053678162491660165
A1V12 Tactical Sleeve,2020,4011.910871953075,39453.561938681785,0.04011910871953075
A1V12 Tactical Sleeve,2021,10917.226544985499,50370.78848366728,0.10917226544985499
