Model,Lifetime_Dividend_Income,Current_Year_Income,TTM_Dividend_Income,Current_Year_Yield_on_Cost,Lifetime_Income_on_Original_Capital,Through_Date
VOO Benchmark,63823.781811135006,3298.9158146016443,6319.910448160948,0.032989158146016447,0.63823781811135,2026-07-10
A1V12 Tactical Sleeve,138713.38969959307,27993.699525184296,32427.366676410933,0.27993699525184296,1.3871338969959306,2026-07-10
MWM Aggressive,38376.494731439,1413.6421914015634,3345.405538183624,0.014136421914015634,0.38376494731439004,2026-07-10
MWM Balanced,14006.106097814903,346.0771113384184,752.5427905142001,0.0034607711133841836,0.14006106097814902,2026-07-10
MWM Conservative,8000.247369921972,100.97109954613637,218.37841436267385,0.0010097109954613638,0.08000247369921971,2026-07-10
MWM Growth,29156.736605032864,1033.560394863502,2368.3121593534597,0.010335603948635022,0.2915673660503286,2026-07-10
MWM Growth Plus,33514.83701963069,1219.7283540855678,2835.1020877297306,0.012197283540855678,0.33514837019630694,2026-07-10
MWM Moderate,26090.563827926242,928.5567481989116,2052.566348143927,0.009285567481989115,0.26090563827926244,2026-07-10
MWM Ultra Aggressive,49270.43952045043,1635.3471074676006,4193.688285364394,0.016353471074676006,0.4927043952045043,2026-07-10
Tactical Aggressive,58956.560009487315,5017.5462641658405,8730.9395470368,0.050175462641658404,0.5895656000948731,2026-07-10
Tactical Balanced,17019.725365596947,715.6269647704705,1381.4733758273383,0.007156269647704705,0.17019725365596947,2026-07-10
Tactical Conservative,8650.28733295985,158.86873753760364,322.4675513983044,0.0015886873753760363,0.0865028733295985,2026-07-10
Tactical Growth,42087.3788340233,3093.1079945278198,5583.1321456535425,0.030931079945278196,0.420873788340233,2026-07-10
Tactical Growth Plus,49930.929791211776,3961.337353558914,7026.466329371924,0.03961337353558914,0.49930929791211776,2026-07-10
Tactical Moderate,36480.464619099075,2543.1595988787617,4624.109959953975,0.025431595988787616,0.36480464619099073,2026-07-10
Tactical Ultra Aggressive,78587.87692953972,6969.780575212144,11889.463223668405,0.06969780575212144,0.7858787692953972,2026-07-10
