Date,VOO Benchmark,A1V12 Tactical Sleeve,MWM Aggressive,MWM Balanced,MWM Conservative,MWM Growth,MWM Growth Plus,MWM Moderate,MWM Ultra Aggressive,Tactical Aggressive,Tactical Balanced,Tactical Conservative,Tactical Growth,Tactical Growth Plus,Tactical Moderate,Tactical Ultra Aggressive
2011-01-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2011-01-04,99913.95853804244,99686.07164805477,99874.5508084282,99955.13902477414,99997.36906584115,99895.23562165193,99884.89321504007,99912.90898370712,99860.24183486782,99659.48630819967,99829.96157461971,99922.26259574849,99704.06717700434,99681.77674260201,99737.66055349093,99557.72529261792
2011-01-05,100447.38798883282,100230.16149961238,100240.67260219953,100122.99343885001,100053.95886833314,100208.48898232047,100224.58353298664,100191.9339728141,100286.63502765298,100032.73466670112,100002.30785086143,99981.63374639726,100023.75972795092,100028.25320261744,100022.77294429652,99992.21730197017
2011-01-06,100275.31369408849,100188.27807344597,99994.03315270484,100020.00452145848,100026.52853807995,99998.87247686209,99996.45851554707,100013.28246711996,99999.95533498126,99862.3373441012,99944.7408677565,99981.39630216059,99881.83960138792,99872.09510711888,99907.85295829394,99788.35693833142
2011-01-07,100068.82626622943,100167.33636036275,99730.05903739772,99927.60891435755,100024.59047768069,99779.0752760234,99754.57230905771,99830.44147595,99690.68712325749,99707.54409126498,99917.55046512179,100018.55485643823,99759.05915227422,99733.3066827975,99816.36100250843,99598.22651963052
2011-01-10,99982.79343344265,100125.53419361517,99626.46321343853,99883.97611078018,100012.96352176234,99690.98438235023,99658.72703484775,99754.86511182702,99554.57491259128,99683.36139949145,99919.22548423687,100034.13813827212,99741.5910519284,99712.48041722292,99804.15586881463,99593.65660278824
2011-01-11,100309.75271471556,100460.31139073634,99978.3646483976,100088.14813866196,100135.62493576568,100003.98823761863,99991.18602137704,100040.336470213,99936.45046991738,100064.30489382432,100139.71370077411,100166.58321240508,100080.40529282701,100072.3654812634,100112.48388390307,100027.75673384425
2011-01-12,101204.59772574753,101339.20165639196,100929.02385200468,100649.85173376273,100482.4036640718,100851.89746179071,100890.47691881434,100816.75827800822,100978.86373123564,100991.91083380993,100688.00427120739,100505.24549692798,100907.74085616134,100949.84036275189,100870.28746913475,101033.55088168812
2011-01-13,101066.91067660552,101171.77242812194,100771.9639444002,100602.66813031689,100493.00430895919,100723.23051075375,100747.61887189245,100711.59866454163,100757.15921461978,100851.56140244425,100649.37841974417,100520.98459468676,100793.93095224482,100822.76618678476,100777.09964829427,100858.88429880953
2011-01-14,101789.68139289314,101862.30336091275,101377.95585382913,100951.20545776203,100696.91321668314,101260.24144707875,101319.11210914141,101205.07564338631,101414.78200460288,101443.8149382018,100989.37457364397,100719.73513738443,101318.68869053395,101381.2623350896,101258.69791266165,101506.03011118388
2011-01-18,101961.78157514984,102238.92915873512,101539.14908561195,101060.50867554416,100776.56918473876,101407.33541835107,101473.25168796377,101344.17387798519,101556.67828588128,101771.33741999506,101195.71867098862,100857.45349818481,101613.44045515463,101692.38949754082,101534.03137671367,101868.37225157287
2011-01-19,100946.4733398748,101129.88900195551,100644.14603158053,100546.05027264939,100473.7693011345,100614.20969855766,100629.21995115603,100616.8743671464,100587.81727372912,100718.30402092505,100592.15336601158,100501.53675604248,100680.26564214319,100699.33131337132,100681.169468896,100639.73680015649
2011-01-20,100825.98422811936,100899.72750234313,100459.48199458965,100397.05672344836,100345.31366420022,100439.22980725051,100449.39862805982,100447.31596489382,100406.07299917804,100407.22734110702,100370.30392719495,100329.41241683652,100392.96741833823,100400.14595831827,100409.50994068988,100268.09634899892
2011-01-21,101049.71273921893,100627.69418505272,100591.25280524169,100502.66699398008,100432.82700280861,100563.05871080513,100577.19814051897,100571.03994691759,100490.25323593199,100263.45025135881,100310.56516418859,100317.75976435334,100271.90352163772,100267.726206849,100301.64770044596,100065.27002644358
2011-01-24,101669.25268533321,101464.68941605352,101160.75319170747,100839.73707351404,100639.9244962568,101070.52896376337,101115.67935060266,101038.25623474125,101150.16347864196,100947.79831093761,100717.34046050621,100566.83270843647,100881.64974486377,100914.77524004078,100866.09302920675,100838.80588369608
2011-01-25,101634.82229387692,101569.3051135623,101144.17691982808,100867.78966559269,100690.93231057886,101065.35096972492,101104.80475399848,101043.26216823045,101156.697190823,100987.55956987031,100780.01566570597,100638.56640119429,100926.49542042763,100957.07956649753,100919.68142024831,100885.39919470406
2011-01-26,102168.29489052125,102176.16206192752,101580.02393492528,101095.15843236377,100802.54885849077,101445.61947741806,101512.85190920882,101386.78366840903,101628.13608995653,101573.21885121224,101092.44761906647,100801.20972472319,101439.92694690052,101506.6143823123,101382.31365594328,101609.82018928969
2011-01-27,102305.95605215088,102238.92915873512,101739.99168373534,101208.88117497241,100890.21157021422,101593.11149269453,101666.57777484761,101526.71446646895,101783.43937093692,101710.43380375754,101191.73987070387,100880.23974540489,101567.22203174201,101638.86625553198,101501.98195080049,101758.1378061293
