Date,Type,From,To
2011-01-06,Base regime,MGK,MGV
2011-01-12,Base regime,MGV,MGK
2011-01-25,Base regime,MGK,MGV
2011-03-16,SMH overlay,ON,OFF
2011-04-25,Base regime,MGV,MGK
2011-04-28,SMH overlay,OFF,ON
2011-04-29,Base regime,MGK,MGV
2011-05-10,Base regime,MGV,MGK
2011-06-14,Base regime,MGK,MGV
2011-06-27,Base regime,MGV,MGK
2011-10-06,SMH overlay,ON,OFF
2012-01-25,SMH overlay,OFF,ON
2012-06-13,Base regime,MGK,MGV
2012-07-16,SMH overlay,ON,OFF
2012-07-31,Base regime,MGV,MGK
2012-10-09,Base regime,MGK,MGV
2012-11-06,SMH overlay,OFF,ON
2013-05-07,Base regime,MGV,MGK
2013-05-16,Base regime,MGK,MGV
2013-07-25,SMH overlay,ON,OFF
2013-08-20,Base regime,MGV,MGK
2013-09-11,SMH overlay,OFF,ON
2014-06-20,Base regime,MGK,MGV
2014-06-27,Base regime,MGV,MGK
2014-10-15,Base regime,MGK,MGV
2014-10-17,Base regime,MGV,MGK
2015-05-04,Base regime,MGK,MGV
2015-05-26,Base regime,MGV,MGK
2015-06-12,Base regime,MGK,MGV
2015-06-22,Base regime,MGV,MGK
2015-07-06,SMH overlay,ON,OFF
2015-09-01,SMH overlay,OFF,ON
2015-10-08,Base regime,MGK,MGV
2015-10-13,Base regime,MGV,MGK
2015-12-17,Base regime,MGK,MGV
2016-02-16,SMH overlay,ON,OFF
2016-03-31,Base regime,MGV,MGK
2016-04-21,Base regime,MGK,MGV
2016-05-26,SMH overlay,OFF,ON
2016-09-08,Base regime,MGV,MGK
2016-09-12,Base regime,MGK,MGV
2016-11-16,SMH overlay,ON,OFF
2017-01-20,Base regime,MGV,MGK
2017-05-17,SMH overlay,OFF,ON
2017-06-16,SMH overlay,ON,OFF
2017-07-17,SMH overlay,OFF,ON
2017-09-26,Base regime,MGK,MGV
2017-10-02,Base regime,MGV,MGK
2017-10-04,Base regime,MGK,MGV
2017-10-09,Base regime,MGV,MGK
2017-12-05,SMH overlay,ON,OFF
2017-12-21,Base regime,MGK,MGV
2018-01-04,Base regime,MGV,MGK
2018-03-07,SMH overlay,OFF,ON
2018-04-05,SMH overlay,ON,OFF
2018-04-25,Base regime,MGK,MGV
2018-05-02,Base regime,MGV,MGK
2018-05-08,SMH overlay,OFF,ON
2018-06-29,SMH overlay,ON,OFF
2018-08-21,Base regime,MGK,MGV
2018-08-24,Base regime,MGV,MGK
2018-09-19,Base regime,MGK,MGV
2019-01-31,SMH overlay,OFF,ON
2019-02-01,Base regime,MGV,MGK
2019-05-16,SMH overlay,ON,OFF
2019-06-05,Base regime,MGK,MGV
2019-06-11,Base regime,MGV,MGK
2019-07-03,SMH overlay,OFF,ON
2019-08-07,SMH overlay,ON,OFF
2019-10-01,Base regime,MGK,MGV
2019-11-01,Base regime,MGV,MGK
2019-11-06,Base regime,MGK,MGV
2019-11-18,Base regime,MGV,MGK
2019-12-18,SMH overlay,OFF,ON
2020-02-28,SMH overlay,ON,OFF
2020-03-06,SMH overlay,OFF,ON
2020-11-12,Base regime,MGK,MGV
2020-12-21,Base regime,MGV,MGK
2021-01-08,Base regime,MGK,MGV
2021-03-01,SMH overlay,ON,OFF
2021-04-08,SMH overlay,OFF,ON
2021-04-27,Base regime,MGV,MGK
2021-05-07,SMH overlay,ON,OFF
2021-05-26,SMH overlay,OFF,ON
2021-08-18,SMH overlay,ON,OFF
2021-08-31,SMH overlay,OFF,ON
2021-10-05,SMH overlay,ON,OFF
2021-11-05,SMH overlay,OFF,ON
2021-12-20,Base regime,MGK,MGV
2021-12-21,SMH overlay,ON,OFF
2022-07-18,SMH overlay,OFF,ON
2022-09-07,SMH overlay,ON,OFF
2022-11-14,SMH overlay,OFF,ON
2022-12-27,SMH overlay,ON,OFF
2023-01-17,SMH overlay,OFF,ON
2023-01-30,Base regime,MGV,MGK
2023-04-13,SMH overlay,ON,OFF
2023-05-23,SMH overlay,OFF,ON
2023-07-27,SMH overlay,ON,OFF
2023-10-04,SMH overlay,OFF,ON
2024-01-09,SMH overlay,ON,OFF
2024-01-17,SMH overlay,OFF,ON
2024-04-25,SMH overlay,ON,OFF
2024-05-31,SMH overlay,OFF,ON
2024-07-22,SMH overlay,ON,OFF
2024-07-26,Base regime,MGK,MGV
2024-08-16,SMH overlay,OFF,ON
2024-08-19,Base regime,MGV,MGK
2024-08-28,Base regime,MGK,MGV
2024-09-03,SMH overlay,ON,OFF
2024-09-18,SMH overlay,OFF,ON
2024-09-26,Base regime,MGV,MGK
2024-10-03,Base regime,MGK,MGV
2024-10-10,Base regime,MGV,MGK
2024-10-17,Base regime,MGK,MGV
2024-10-22,Base regime,MGV,MGK
2024-10-22,SMH overlay,ON,OFF
2025-02-26,Base regime,MGK,MGV
2025-04-16,SMH overlay,OFF,ON
2025-04-29,Base regime,MGV,MGK
2025-11-13,SMH overlay,ON,OFF
2025-12-05,SMH overlay,OFF,ON
2025-12-16,Base regime,MGK,MGV
2025-12-19,SMH overlay,ON,OFF
2026-01-09,SMH overlay,OFF,ON
2026-02-10,SMH overlay,ON,OFF
2026-04-10,SMH overlay,OFF,ON
2026-06-12,SMH overlay,ON,OFF
