Date,A1V12,EffectiveHolding,MGK Buy Hold,MGV Buy Hold,VOO Benchmark,BIL Buy Hold
2011-01-03,100000.0,MGV,100000.0,100000.0,100000.0,100000.0
2011-01-04,100229.63447966523,MGV,99686.12961762559,100229.63447966523,99913.9585231931,100000.0
2011-01-05,100740.13356883157,MGV,100230.12672757564,100740.13356883157,100447.38806604457,100000.0
2011-01-06,100459.34794060982,MGV,100188.34776810507,100459.3479406098,100275.35688746446,100000.0
2011-01-07,100229.63447966524,MGV,100167.37122468652,100229.63447966523,100068.83490727998,99978.2168926449
2011-01-10,99948.90629237393,MGV,100125.55743974264,99948.90629237391,99982.80205964536,100000.0
2011-01-11,100283.12768495435,MGK,100460.3695400623,100229.63447966523,100309.77865569059,100000.0
2011-01-12,101160.38641541368,MGK,101339.17875033201,101301.61148376313,101204.61519198571,99978.2168926449
2011-01-13,100993.3336591749,MGK,101171.83074262767,101046.40860993594,101066.94537742576,99978.2168926449
2011-01-14,101809.62136545018,MGV,101862.29218479231,101863.12529927622,101789.70758927935,99978.2168926449
2011-01-18,101733.10717585127,MGV,102238.94128703805,101786.57089923274,101961.79054289316,99978.2168926449
2011-01-19,100661.72193649848,MGV,101129.9705237194,100714.62261560005,100946.49076156502,100000.0
2011-01-20,100814.7503156963,MGV,100899.77414519715,100867.73141568701,100826.00162901514,100000.0
2011-01-21,101733.10717585127,MGV,100627.68272229332,101786.57089923274,101049.73017872656,99978.2168926449
2011-01-24,101988.20470892878,MGV,101464.74779856575,102041.80249352515,101669.24434424633,99978.2168926449
2011-01-25,101962.67127368278,MGV,101569.36352036316,102016.25563971211,101634.81394684792,100000.0
2011-01-26,102166.7378179929,MGV,102176.16256716673,102220.42942695995,102168.27800638851,99978.2168926449
2011-01-27,102447.36160997147,MGV,102238.94128703805,102501.20069494909,102305.96507929303,100000.0
2011-01-28,100942.29549406258,MGV,100104.6041133063,100995.34362277506,100499.09406634816,99978.2168926449
2011-01-31,101758.61908206249,MGV,100899.77414519715,101812.09621269687,101273.45009926568,99978.2168926449
2011-02-01,103646.35661479487,MGV,102343.59183430875,103700.82580671659,102856.67885422196,99978.2168926449
2011-02-02,103340.19221122535,MGV,102134.32556524065,103394.50050479808,102684.55275474675,99978.2168926449
2011-02-03,103544.30898994996,MGV,102385.48687869034,103598.72455286005,102942.7030726843,99978.2168926449
2011-02-04,103595.3256260275,MGV,102741.13622053532,103649.76799967201,103218.0427018042,100000.0
2011-02-07,104309.58723649262,MGV,103285.21458992308,104364.40497550467,103871.99589389467,99978.2168926449
2011-02-08,104794.29192547119,MGV,103808.3280243834,104849.36439097428,104353.80572816537,99978.2168926449
2011-02-09,104411.63486133753,MGV,103619.99186476944,104466.5062293612,104095.68992691695,100000.0
2011-02-10,104411.63486133753,MGV,103431.67892213767,104466.5062293612,104130.11169514307,99978.2168926449
2011-02-11,105125.9036481476,MGV,104205.90723608328,105181.15038531017,104784.05625806126,99978.2168926449
2011-02-14,105457.49384178926,MGV,104331.46467582592,105512.91483929715,105042.12891344828,99978.2168926449
2011-02-15,105074.89418841501,MGV,104080.31497086733,105130.11411861451,104663.57575468368,100000.0
2011-02-16,105763.64389266893,MGV,104708.10216958055,105819.22578098305,105334.70099961195,100000.0
2011-02-17,106069.79394354859,MGV,104896.43832919451,106125.53672266894,105730.51250293716,100000.0
2011-02-18,106375.9009363587,MGV,105001.08887646522,106431.80458365701,105902.59545655095,99978.2168926449
2011-02-22,104692.18688986686,MGV,102448.20755610616,104747.2056961873,103734.30019181786,99978.2168926449
2011-02-23,104437.12523851398,MGV,101694.9093516147,104492.01000247643,103149.2164236965,100000.0
2011-02-24,104156.56603363973,MGV,101715.81624408663,104211.30335553401,103045.93386067355,100000.0
2011-02-25,104998.33694074652,MGV,102845.76355082383,105053.51663787321,104164.49894668009,100000.0
2011-02-28,105891.1675420004,MGV,103306.09826541283,105946.81644772219,104784.05625806126,99978.2168926449
2011-03-01,104258.58495310492,MGV,101715.81624408663,104313.37588892532,102994.3572979542,99978.2168926449
2011-03-02,104284.06097759152,MGV,101862.29218479231,104338.86530180793,103286.83446322277,100000.0
2011-03-03,106044.2676846475,MGV,103578.16647133445,106099.9970489722,105059.39588718116,99978.2168926449
2011-03-04,105176.94898960483,MGV,102929.4723801493,105232.22255258735,104284.99670840224,100000.0
2011-03-07,104462.62279203536,MGV,101862.29218479231,104517.52095570795,103372.9536025802,99978.2168926449
2011-03-08,105534.09414752724,MGV,102720.25254504559,105589.5554007363,104336.616416983,99978.2168926449
2011-03-09,105585.08207822508,MGV,102427.28905514312,105640.57012708303,104216.11865526086,99978.2168926449
2011-03-10,103442.29007048473,MGV,100669.589375166,103496.65201946875,102305.96507929303,99978.2168926449
2011-03-11,104156.56603363973,MGV,101360.13207676835,104211.30335553401,102994.3572979542,100000.0
2011-03-14,103442.29007048473,MGV,100690.48465914684,103496.65201946875,102392.00655609994,100000.0
2011-03-15,102268.8500299421,MGV,99644.28100720841,102322.59530186321,101256.23490056647,100021.7831073551
2011-03-16,100355.57188561876,MGV,97635.54770718371,100408.31167391416,99328.883384244,100021.7831073551
2011-03-17,101758.61908206246,MGV,98807.28558188258,101812.09621269687,100567.894456939,100021.7831073551
2011-03-18,102523.92603398484,MGV,98911.87808669779,102577.80535580672,100998.11047014578,100021.7831073551
2011-03-21,103748.36835791515,MGV,100502.19493349727,103802.89115999159,102529.68499983216,100021.7831073551
2011-03-22,103416.74945889381,MGV,100209.2430520859,103471.0979855394,102168.27800638851,99978.2168926449
2011-03-23,103595.3256260275,MGV,100627.68272229332,103649.76799967201,102495.2804899506,100000.0
2011-03-24,104233.02281247925,MGV,101862.29218479231,104287.80031464706,103458.96056269798,99978.2168926449
2011-03-25,104592.01946739253,MGV,102059.53205708035,104646.98563280268,103766.64232952445,99978.2168926449
2011-03-28,104438.20169025287,MGV,101849.75501440381,104493.08701992217,103541.91279582852,100000.0
2011-03-29,105002.30545949051,MGV,102730.78144647372,105057.48724218985,104216.0582510549,99978.2168926449
2011-03-30,105848.4898187267,MGV,103297.26420368536,105904.11629605659,104924.81531629757,100000.0
2011-03-31,105489.47163477863,MGV,103192.36987810156,105544.90943755205,104786.48968464432,99978.2168926449
2011-04-01,106104.90062292562,MGV,103632.90050687315,106160.6618516328,105270.50858701878,99978.2168926449
2011-04-04,106207.44341557042,MGV,103548.97111621678,106263.25853351438,105322.34402490655,99978.2168926449
2011-04-05,106258.76145813483,MGV,103507.0180293797,106314.60354521114,105322.34402490655,99978.2168926449
2011-04-06,106694.65264892808,MGV,103695.81852863768,106750.72380957441,105633.53786485111,99978.2168926449
2011-04-07,106489.50247653417,MGV,103569.90122567092,106545.46582476453,105443.35090779324,100000.0
2011-04-08,106181.83821687516,MGV,103045.49924869846,106237.63987853828,105045.83082835653,99978.2168926449
2011-04-11,105797.17177616229,MGV,102919.6748136605,105852.77128435981,104682.8015505242,99978.2168926449
2011-04-12,104951.04482768552,MGV,102311.26218659396,105006.19967142351,103922.20904739374,100000.0
2011-04-13,104720.24639852677,MGV,102541.99255570682,104775.2799509397,103956.7947698932,100000.0
2011-04-14,104745.9233606713,MGV,102562.98070761647,104800.97040707884,103974.07037279836,99978.2168926449
2011-04-15,105258.70908734453,MGV,102583.96885952611,105314.02561764976,104337.0996506307,100000.0
2011-04-18,103925.35137647532,MGV,101807.75549360232,103979.96718830451,103196.21952510731,99978.2168926449
2011-04-19,104515.08904978793,MGV,102311.26218659396,104570.0147860135,103835.79651617879,99978.2168926449
2011-04-20,105720.29876931709,MGV,103800.71285422149,105775.85787850109,105235.92286451932,99978.2168926449
2011-04-21,106596.24173185998,MGK,104660.75113438175,106083.67664461103,105702.65753481633,99978.2168926449
2011-04-25,106297.17472634588,MGK,104367.11435199545,105904.11629605659,105598.95214235166,99978.2168926449
2011-04-26,107109.0834172199,MGK,105164.28104435558,107032.92392070826,106515.09410500685,99978.2168926449
2011-04-27,107982.00925751135,MGV,105877.57638851483,107905.22907048152,107206.50653396611,99978.2168926449
2011-04-28,108367.0654830233,MGV,106255.200604013,108290.01150326434,107552.20843385959,99978.2168926449
2011-04-29,108777.88074134845,MGV,106402.02479945171,108700.53465300042,107863.3850154596,99978.2168926449
2011-05-02,108546.77515378797,MGV,106339.07195221388,108469.59339216769,107621.39713720306,99978.2168926449
2011-05-03,108341.42859904071,MGV,105898.52971495118,108264.39284828823,107275.66072062045,99978.2168926449
2011-05-04,107699.58679063374,MGV,105269.1985869216,107623.00741899878,106549.66256916174,100021.7831073551
